ÏñËØÖµ,º¯ÊýÖµ
0,0
1,9.11965e-05
2,0.000181678
3,0.000271444
4,0.000360494
5,0.00044883
6,0.00053645
7,0.000623355
8,0.000709545
9,0.000795019
10,0.000879778
11,0.000963822
12,0.00104715
13,0.00112976
14,0.00121166
15,0.00129284
16,0.00137331
17,0.00145306
18,0.0015321
19,0.00161042
20,0.00168803
21,0.00176492
22,0.0018411
23,0.00191656
24,0.0019913
25,0.00206533
26,0.00213865
27,0.00221125
28,0.00228313
29,0.0023543
30,0.00242475
31,0.00249449
32,0.00256352
33,0.00263182
34,0.00269942
35,0.00276629
36,0.00283246
37,0.0028979
38,0.00296263
39,0.00302665
40,0.00308995
41,0.00315254
42,0.00321441
43,0.00327556
44,0.003336
45,0.00339573
46,0.00345474
47,0.00351303
48,0.00357061
49,0.00362747
50,0.00368362
51,0.00373906
52,0.00379377
53,0.00384778
54,0.00390106
55,0.00395364
56,0.00400549
57,0.00405663
58,0.00410706
59,0.00415677
60,0.00420577
61,0.00425405
62,0.00430161
63,0.00434846
64,0.0043946
65,0.00444002
66,0.00448472
67,0.00452871
68,0.00457198
69,0.00461454
70,0.00465639
71,0.00469751
72,0.00473793
73,0.00477762
74,0.00481661
75,0.00485487
76,0.00489242
77,0.00492926
78,0.00496538
79,0.00500079
80,0.00503548
81,0.00506945
82,0.00510271
83,0.00513526
84,0.00516709
85,0.0051982
86,0.0052286
87,0.00525828
88,0.00528725
89,0.0053155
90,0.00534304
91,0.00536986
92,0.00539597
93,0.00542136
94,0.00544604
95,0.00547
96,0.00549325
97,0.00551578
98,0.00553759
99,0.00555869
100,0.00557908
101,0.00559875
102,0.0056177
103,0.00563594
104,0.00565347
105,0.00567028
106,0.00568637
107,0.00570175
108,0.00571641
109,0.00573036
110,0.00574359
111,0.00575611
112,0.00576791
113,0.005779
114,0.00578937
115,0.00579902
116,0.00580797
117,0.00581619
118,0.0058237
119,0.0058305
120,0.00583658
121,0.00584194
122,0.00584659
123,0.00585052
124,0.00585374
125,0.00585625
126,0.00585803
127,0.00585911
128,0.00585946
129,0.00585911
130,0.00585803
131,0.00585625
132,0.00585374
133,0.00585052
134,0.00584659
135,0.00584194
136,0.00583658
137,0.0058305
138,0.0058237
139,0.00581619
140,0.00580797
141,0.00579902
142,0.00578937
143,0.005779
144,0.00576791
145,0.00575611
146,0.00574359
147,0.00573036
148,0.00571641
149,0.00570175
150,0.00568637
151,0.00567028
152,0.00565347
153,0.00563594
154,0.0056177
155,0.00559875
156,0.00557908
157,0.00555869
158,0.00553759
159,0.00551578
160,0.00549325
161,0.00547
162,0.00544604
163,0.00542136
164,0.00539597
165,0.00536986
166,0.00534304
167,0.0053155
168,0.00528725
169,0.00525828
170,0.0052286
171,0.0051982
172,0.00516709
173,0.00513526
174,0.00510271
175,0.00506945
176,0.00503548
177,0.00500079
178,0.00496538
179,0.00492926
180,0.00489242
181,0.00485487
182,0.00481661
183,0.00477762
184,0.00473793
185,0.00469751
186,0.00465639
187,0.00461454
188,0.00457198
189,0.00452871
190,0.00448472
191,0.00444002
192,0.0043946
193,0.00434846
194,0.00430161
195,0.00425405
196,0.00420577
197,0.00415677
198,0.00410706
199,0.00405663
200,0.00400549
201,0.00395364
202,0.00390106
203,0.00384778
204,0.00379377
205,0.00373906
206,0.00368362
207,0.00362747
208,0.00357061
209,0.00351303
210,0.00345474
211,0.00339573
212,0.003336
213,0.00327556
214,0.00321441
215,0.00315254
216,0.00308995
217,0.00302665
218,0.00296263
219,0.0028979
220,0.00283246
221,0.00276629
222,0.00269942
223,0.00263182
224,0.00256352
225,0.00249449
226,0.00242475
227,0.0023543
228,0.00228313
229,0.00221125
230,0.00213865
231,0.00206533
232,0.0019913
233,0.00191656
234,0.0018411
235,0.00176492
236,0.00168803
237,0.00161042
238,0.0015321
239,0.00145306
240,0.00137331
241,0.00129284
242,0.00121166
243,0.00112976
244,0.00104715
245,0.000963822
246,0.000879778
247,0.000795019
248,0.000709545
249,0.000623355
250,0.00053645
251,0.00044883
252,0.000360494
253,0.000271444
254,0.000181678
255,9.11965e-05
